DateKey,Date,Day,WeekNo,Month,MonthNo,Quarter,Year
20190424,2019-04-24,Wed,17,Apr,4,2,2019
20190425,2019-04-25,Thu,17,Apr,4,2,2019
20190426,2019-04-26,Fri,17,Apr,4,2,2019
20190427,2019-04-27,Sat,17,Apr,4,2,2019
20190428,2019-04-28,Sun,18,Apr,4,2,2019
20190429,2019-04-29,Mon,18,Apr,4,2,2019
20190430,2019-04-30,Tue,18,Apr,4,2,2019
20190501,2019-05-01,Wed,18,May,5,2,2019
20190502,2019-05-02,Thu,18,May,5,2,2019
20190503,2019-05-03,Fri,18,May,5,2,2019
20190504,2019-05-04,Sat,18,May,5,2,2019
20190505,2019-05-05,Sun,19,May,5,2,2019
20190506,2019-05-06,Mon,19,May,5,2,2019
20190507,2019-05-07,Tue,19,May,5,2,2019
20190508,2019-05-08,Wed,19,May,5,2,2019
20190509,2019-05-09,Thu,19,May,5,2,2019
20190510,2019-05-10,Fri,19,May,5,2,2019
20190511,2019-05-11,Sat,19,May,5,2,2019
20190512,2019-05-12,Sun,20,May,5,2,2019
20190513,2019-05-13,Mon,20,May,5,2,2019
20190514,2019-05-14,Tue,20,May,5,2,2019
20190515,2019-05-15,Wed,20,May,5,2,2019
20190516,2019-05-16,Thu,20,May,5,2,2019
20190517,2019-05-17,Fri,20,May,5,2,2019
20190518,2019-05-18,Sat,20,May,5,2,2019
20190519,2019-05-19,Sun,21,May,5,2,2019
20190520,2019-05-20,Mon,21,May,5,2,2019
20190521,2019-05-21,Tue,21,May,5,2,2019
20190522,2019-05-22,Wed,21,May,5,2,2019
20190523,2019-05-23,Thu,21,May,5,2,2019
20190524,2019-05-24,Fri,21,May,5,2,2019
20190525,2019-05-25,Sat,21,May,5,2,2019
20190526,2019-05-26,Sun,22,May,5,2,2019
20190527,2019-05-27,Mon,22,May,5,2,2019
20190528,2019-05-28,Tue,22,May,5,2,2019
20190529,2019-05-29,Wed,22,May,5,2,2019
20190530,2019-05-30,Thu,22,May,5,2,2019
20190531,2019-05-31,Fri,22,May,5,2,2019
20190601,2019-06-01,Sat,22,Jun,6,2,2019
20190602,2019-06-02,Sun,23,Jun,6,2,2019
20190603,2019-06-03,Mon,23,Jun,6,2,2019
20190604,2019-06-04,Tue,23,Jun,6,2,2019
20190605,2019-06-05,Wed,23,Jun,6,2,2019
20190606,2019-06-06,Thu,23,Jun,6,2,2019
20190607,2019-06-07,Fri,23,Jun,6,2,2019
20190608,2019-06-08,Sat,23,Jun,6,2,2019
20190609,2019-06-09,Sun,24,Jun,6,2,2019
20190610,2019-06-10,Mon,24,Jun,6,2,2019
20190611,2019-06-11,Tue,24,Jun,6,2,2019
20190612,2019-06-12,Wed,24,Jun,6,2,2019
20190613,2019-06-13,Thu,24,Jun,6,2,2019
20190614,2019-06-14,Fri,24,Jun,6,2,2019
20190615,2019-06-15,Sat,24,Jun,6,2,2019
20190616,2019-06-16,Sun,25,Jun,6,2,2019
20190617,2019-06-17,Mon,25,Jun,6,2,2019
20190618,2019-06-18,Tue,25,Jun,6,2,2019
20190619,2019-06-19,Wed,25,Jun,6,2,2019
20190620,2019-06-20,Thu,25,Jun,6,2,2019
20190621,2019-06-21,Fri,25,Jun,6,2,2019
20190622,2019-06-22,Sat,25,Jun,6,2,2019
20190623,2019-06-23,Sun,26,Jun,6,2,2019
20190624,2019-06-24,Mon,26,Jun,6,2,2019
20190625,2019-06-25,Tue,26,Jun,6,2,2019
20190626,2019-06-26,Wed,26,Jun,6,2,2019
20190627,2019-06-27,Thu,26,Jun,6,2,2019
20190628,2019-06-28,Fri,26,Jun,6,2,2019
20190629,2019-06-29,Sat,26,Jun,6,2,2019
20190630,2019-06-30,Sun,27,Jun,6,2,2019
20190701,2019-07-01,Mon,27,Jul,7,3,2019
20190702,2019-07-02,Tue,27,Jul,7,3,2019
20190703,2019-07-03,Wed,27,Jul,7,3,2019
20190704,2019-07-04,Thu,27,Jul,7,3,2019
20190705,2019-07-05,Fri,27,Jul,7,3,2019
20190706,2019-07-06,Sat,27,Jul,7,3,2019
20190707,2019-07-07,Sun,28,Jul,7,3,2019
20190708,2019-07-08,Mon,28,Jul,7,3,2019
20190709,2019-07-09,Tue,28,Jul,7,3,2019
20190710,2019-07-10,Wed,28,Jul,7,3,2019
20190711,2019-07-11,Thu,28,Jul,7,3,2019
20190712,2019-07-12,Fri,28,Jul,7,3,2019
20190713,2019-07-13,Sat,28,Jul,7,3,2019
20190714,2019-07-14,Sun,29,Jul,7,3,2019
20190715,2019-07-15,Mon,29,Jul,7,3,2019
20190716,2019-07-16,Tue,29,Jul,7,3,2019
20190717,2019-07-17,Wed,29,Jul,7,3,2019
20190718,2019-07-18,Thu,29,Jul,7,3,2019
20190719,2019-07-19,Fri,29,Jul,7,3,2019
20190720,2019-07-20,Sat,29,Jul,7,3,2019
20190721,2019-07-21,Sun,30,Jul,7,3,2019
20190722,2019-07-22,Mon,30,Jul,7,3,2019
20190723,2019-07-23,Tue,30,Jul,7,3,2019
20190724,2019-07-24,Wed,30,Jul,7,3,2019
20190725,2019-07-25,Thu,30,Jul,7,3,2019
20190726,2019-07-26,Fri,30,Jul,7,3,2019
20190727,2019-07-27,Sat,30,Jul,7,3,2019
20190728,2019-07-28,Sun,31,Jul,7,3,2019
20190729,2019-07-29,Mon,31,Jul,7,3,2019
20190730,2019-07-30,Tue,31,Jul,7,3,2019
20190731,2019-07-31,Wed,31,Jul,7,3,2019
20190801,2019-08-01,Thu,31,Aug,8,3,2019
20190802,2019-08-02,Fri,31,Aug,8,3,2019
20190803,2019-08-03,Sat,31,Aug,8,3,2019
20190804,2019-08-04,Sun,32,Aug,8,3,2019
20190805,2019-08-05,Mon,32,Aug,8,3,2019
20190806,2019-08-06,Tue,32,Aug,8,3,2019
20190807,2019-08-07,Wed,32,Aug,8,3,2019
20190808,2019-08-08,Thu,32,Aug,8,3,2019
20190809,2019-08-09,Fri,32,Aug,8,3,2019
20190810,2019-08-10,Sat,32,Aug,8,3,2019
20190811,2019-08-11,Sun,33,Aug,8,3,2019
20190812,2019-08-12,Mon,33,Aug,8,3,2019
20190813,2019-08-13,Tue,33,Aug,8,3,2019
20190814,2019-08-14,Wed,33,Aug,8,3,2019
20190815,2019-08-15,Thu,33,Aug,8,3,2019
20190816,2019-08-16,Fri,33,Aug,8,3,2019
20190817,2019-08-17,Sat,33,Aug,8,3,2019
20190818,2019-08-18,Sun,34,Aug,8,3,2019
20190819,2019-08-19,Mon,34,Aug,8,3,2019
20190820,2019-08-20,Tue,34,Aug,8,3,2019
20190821,2019-08-21,Wed,34,Aug,8,3,2019
20190822,2019-08-22,Thu,34,Aug,8,3,2019
20190823,2019-08-23,Fri,34,Aug,8,3,2019
20190824,2019-08-24,Sat,34,Aug,8,3,2019
20190825,2019-08-25,Sun,35,Aug,8,3,2019
20190826,2019-08-26,Mon,35,Aug,8,3,2019
20190827,2019-08-27,Tue,35,Aug,8,3,2019
20190828,2019-08-28,Wed,35,Aug,8,3,2019
20190829,2019-08-29,Thu,35,Aug,8,3,2019
20190830,2019-08-30,Fri,35,Aug,8,3,2019
20190831,2019-08-31,Sat,35,Aug,8,3,2019
20190901,2019-09-01,Sun,36,Sep,9,3,2019
20190902,2019-09-02,Mon,36,Sep,9,3,2019
20190903,2019-09-03,Tue,36,Sep,9,3,2019
20190904,2019-09-04,Wed,36,Sep,9,3,2019
20190905,2019-09-05,Thu,36,Sep,9,3,2019
20190906,2019-09-06,Fri,36,Sep,9,3,2019
20190907,2019-09-07,Sat,36,Sep,9,3,2019
20190908,2019-09-08,Sun,37,Sep,9,3,2019
20190909,2019-09-09,Mon,37,Sep,9,3,2019
20190910,2019-09-10,Tue,37,Sep,9,3,2019
20190911,2019-09-11,Wed,37,Sep,9,3,2019
20190912,2019-09-12,Thu,37,Sep,9,3,2019
20190913,2019-09-13,Fri,37,Sep,9,3,2019
20190914,2019-09-14,Sat,37,Sep,9,3,2019
20190915,2019-09-15,Sun,38,Sep,9,3,2019
20190916,2019-09-16,Mon,38,Sep,9,3,2019
20190917,2019-09-17,Tue,38,Sep,9,3,2019
20190918,2019-09-18,Wed,38,Sep,9,3,2019
20190919,2019-09-19,Thu,38,Sep,9,3,2019
20190920,2019-09-20,Fri,38,Sep,9,3,2019
20190921,2019-09-21,Sat,38,Sep,9,3,2019
20190922,2019-09-22,Sun,39,Sep,9,3,2019
20190923,2019-09-23,Mon,39,Sep,9,3,2019
20190924,2019-09-24,Tue,39,Sep,9,3,2019
20190925,2019-09-25,Wed,39,Sep,9,3,2019
20190926,2019-09-26,Thu,39,Sep,9,3,2019
20190927,2019-09-27,Fri,39,Sep,9,3,2019
20190928,2019-09-28,Sat,39,Sep,9,3,2019
20190929,2019-09-29,Sun,40,Sep,9,3,2019
20190930,2019-09-30,Mon,40,Sep,9,3,2019
20191001,2019-10-01,Tue,40,Oct,10,4,2019
20191002,2019-10-02,Wed,40,Oct,10,4,2019
20191003,2019-10-03,Thu,40,Oct,10,4,2019
20191004,2019-10-04,Fri,40,Oct,10,4,2019
20191005,2019-10-05,Sat,40,Oct,10,4,2019
20191006,2019-10-06,Sun,41,Oct,10,4,2019
20191007,2019-10-07,Mon,41,Oct,10,4,2019
20191008,2019-10-08,Tue,41,Oct,10,4,2019
20191009,2019-10-09,Wed,41,Oct,10,4,2019
20191010,2019-10-10,Thu,41,Oct,10,4,2019
20191011,2019-10-11,Fri,41,Oct,10,4,2019
20191012,2019-10-12,Sat,41,Oct,10,4,2019
20191013,2019-10-13,Sun,42,Oct,10,4,2019
20191014,2019-10-14,Mon,42,Oct,10,4,2019
20191015,2019-10-15,Tue,42,Oct,10,4,2019
20191016,2019-10-16,Wed,42,Oct,10,4,2019
20191017,2019-10-17,Thu,42,Oct,10,4,2019
20191018,2019-10-18,Fri,42,Oct,10,4,2019
20191019,2019-10-19,Sat,42,Oct,10,4,2019
20191020,2019-10-20,Sun,43,Oct,10,4,2019
20191021,2019-10-21,Mon,43,Oct,10,4,2019
20191022,2019-10-22,Tue,43,Oct,10,4,2019
20191023,2019-10-23,Wed,43,Oct,10,4,2019
20191024,2019-10-24,Thu,43,Oct,10,4,2019
20191025,2019-10-25,Fri,43,Oct,10,4,2019
20191026,2019-10-26,Sat,43,Oct,10,4,2019
20191027,2019-10-27,Sun,44,Oct,10,4,2019
20191028,2019-10-28,Mon,44,Oct,10,4,2019
20191029,2019-10-29,Tue,44,Oct,10,4,2019
20191030,2019-10-30,Wed,44,Oct,10,4,2019
20191031,2019-10-31,Thu,44,Oct,10,4,2019
20191101,2019-11-01,Fri,44,Nov,11,4,2019
20191102,2019-11-02,Sat,44,Nov,11,4,2019
20191103,2019-11-03,Sun,45,Nov,11,4,2019
20191104,2019-11-04,Mon,45,Nov,11,4,2019
20191105,2019-11-05,Tue,45,Nov,11,4,2019
20191106,2019-11-06,Wed,45,Nov,11,4,2019
20191107,2019-11-07,Thu,45,Nov,11,4,2019
20191108,2019-11-08,Fri,45,Nov,11,4,2019
20191109,2019-11-09,Sat,45,Nov,11,4,2019
20191110,2019-11-10,Sun,46,Nov,11,4,2019
20191111,2019-11-11,Mon,46,Nov,11,4,2019
20191112,2019-11-12,Tue,46,Nov,11,4,2019
20191113,2019-11-13,Wed,46,Nov,11,4,2019
20191114,2019-11-14,Thu,46,Nov,11,4,2019
20191115,2019-11-15,Fri,46,Nov,11,4,2019
20191116,2019-11-16,Sat,46,Nov,11,4,2019
20191117,2019-11-17,Sun,47,Nov,11,4,2019
